avilaTungstenIsotopicCompositions2011,10.1088/0004-637X/744/1/49,AVILAETAL2011
SiC-2018-LIU-0,10.1126/sciadv.aao1054,LIUETAL2018
SiC-2018-LIU-1,10.3847/1538-4357/aaab4e,LIUETAL2018B
SiC-2018-NGU-0,10.1016/j.gca.2017.02.026,NGUYENETAL2018
SiC-2018-NIT-0,10.1016/j.gca.2018.01.038,NITTLERETAL2018
SiC-2018-STE-0,10.1016/j.gca.2017.05.001,STEPHANETAL2018
SiC-2018-TRA-0,10.1016/j.gca.2017.05.031,TRAPPITSCHETAL2018
SiC-2019-HOP-0,10.3847/1538-4357/ab521c,HOPPEETAL2019
SiC-2019-LIU-0,10.3847/1538-4357/ab2d27,LIUETAL2019
SiC-2019-STE-0,10.3847/1538-4357/ab1c60,STEPHANETAL2019
SiC-2020-NIT-0,10.1111/maps.13397,NITTLERETAL2020
SiC-2021-LIU-0,10.3847/2041-8213/ac260b,LIUETAL2021
SiC-2021-NIT-0,10.1111/maps.13618,NITTLERETAL2021
SiC-2022-BAR-0,10.3847/2041-8213/ac83bd,BAROSCHETAL2022
SiC-2022-BAR-1,10.1016/j.gca.2022.08.027,BAROSCHETAL2022B
SiC-2022-LIU-0,10.1140/epja/s10050-022-00838-z,LIUETAL2022
SiC-2023-HOP-0,10.3847/2041-8213/acb157,HOPPEETAL2023
